iso-date,tmax,tavg,tmin,RR,precip,relhumid,PP,DD,SD,NN,wind,ET,GR,globrad,SN,WR,FM
1961-01-01,3.5,1.5,-0.8,0,0,88,,6,,,4,,,1.395,0,,
1961-01-02,3.8,1.2,-1.3,0,0,82,,5.3,,,6.2,,,3.714,0,,
1961-01-03,8.3,4.5,1.5,0,0,80,,6.8,,,7.6,,,1.571,0,,
1961-01-04,7.5,3.6,2.1,0,0,80,,6.4,,,5.2,,,2.501,0,,
1961-01-05,3.8,2.7,1.9,0.2,0.3,80,,6,,,6.5,,,1.447,0,,
1961-01-06,5.6,2,0.2,0,0,74,,5.1,,,7.6,,,1.773,0,,
1961-01-07,3.8,2.5,1.6,1.3,1.7,87,,6.4,,,6.3,,,1.479,0,,
1961-01-08,4,2.5,1,0,0,83,,6,,,6.5,,,1.496,0,,
1961-01-09,5.2,3,2.2,0,0,83,,6.5,,,5.3,,,1.514,0,,
1961-01-10,4,2.5,0,0,0,80,,5.7,,,5.2,,,1.801,0,,
1961-01-11,3.8,0.6,-0.4,1.7,2.1,83,,5.5,,,3.7,,,1.553,0,,
1961-01-12,1.9,-2.7,-4.7,0.1,0.1,84,,4.4,,,2.4,,,3.761,0,,
1961-01-13,2.6,0,-4.7,2.5,3,66,,4,,,3.4,,,1.983,0,,
1961-01-14,2,0.4,-0.1,8.3,9.3,95,,6,,,3.1,,,1.619,1,,
1961-01-15,1,-1.6,-2.3,0,0,93,,5.1,,,3.9,,,1.642,5,,
1961-01-16,-1.7,-4.6,-5.4,0.3,0.4,95,,4.1,,,2.7,,,1.667,6,,
1961-01-17,-0.6,-4.6,-6.9,0,0,90,,4.1,,,3.8,,,4.634,4,,
1961-01-18,-5.8,-12.3,-15.8,0,0,86,,2.1,,,4.5,,,6.036,4,,
1961-01-19,-0.5,-8.9,-16.9,0,0,67,,2.1,,,4.1,,,6.231,3,,
1961-01-20,-0.6,-2.9,-9.2,0,0,59,,3.1,,,4.5,,,5.296,3,,
1961-01-21,2.1,0.6,-2.3,0.8,1.1,87,,5.6,,,3.6,,,1.802,2,,
1961-01-22,3,1.4,0.7,2.1,2.6,84,,5.7,,,3.4,,,1.954,1,,
1961-01-23,2,-0.7,-1.9,0,0,94,,5.7,,,2.6,,,1.862,2,,
1961-01-24,-1.9,-6.3,-6.6,0,0,89,,3.5,,,3.5,,,1.893,2,,
1961-01-25,-5.4,-8.4,-11.4,0,0,87,,2.8,,,5.5,,,1.925,2,,
1961-01-26,-8.8,-13.6,-15.6,0,0,82,,1.9,,,3.6,,,6.833,1,,
1961-01-27,0.8,-6.3,-16.6,0,0,71,,2.7,,,4.6,,,6.925,1,,
1961-01-28,0.5,-2.2,-6.6,0,0,65,,3.3,,,7.5,,,3.997,1,,
1961-01-29,8.2,6,-1.1,0,0,69,,6.5,,,10.1,,,6.318,1,,
1961-01-30,8.1,7.1,5.2,2.8,3.2,78,,7.9,,,10.7,,,2.434,0,,
1961-01-31,8,5,4.5,8.5,9.1,81,,7.1,,,6.5,,,2.27,0,,
1961-02-01,6.4,3.9,2.2,1,1.2,82,,6.5,,,7.3,,,3.619,0,,
1961-02-02,3.6,1.9,1.2,1.4,1.8,86,,6.1,,,5.3,,,2.279,0,,
1961-02-03,3.3,1.2,0.4,1.2,1.5,89,,5.9,,,4.6,,,2.53,0,,
1961-02-04,2.6,0.7,-0.7,3.5,4.1,85,,5.3,,,6.4,,,3.645,0,,
1961-02-05,3.5,0.6,-1,0,0,82,,5.3,,,4.7,,,6.305,3,,
1961-02-06,5.9,4.5,-0.3,0.1,0.2,89,,7.2,,,6.8,,,2.369,1,,
1961-02-07,7.9,4.9,3.5,0,0,80,,6.7,,,8.8,,,6.111,0,,
1961-02-08,7.5,4.7,3,4.2,4.7,85,,7.2,,,6.5,,,5.447,0,,
1961-02-09,9.7,7,4,2.7,3.1,85,,8.7,,,8.8,,,2.722,0,,
1961-02-10,7,5.4,3.9,0.5,0.7,82,,7.2,,,7.4,,,3.918,0,,
1961-02-11,7.3,5.7,4.2,4.2,4.7,84,,7.3,,,7.2,,,2.583,0,,
1961-02-12,6.2,4.4,4.1,3.2,3.6,91,,7.3,,,6.9,,,2.627,0,,
1961-02-13,6.5,5.7,3.7,1.7,2,93,,8.3,,,3.5,,,2.673,0,,
1961-02-14,15.2,7.9,5.6,0,0,82,,9.1,,,3.5,,,9.285,0,,
1961-02-15,19.2,10.8,5.8,0,0,73,,9.3,,,3.7,,,8.593,0,,
1961-02-16,9.6,5.9,3.8,0,0,86,,8.3,,,2.2,,,2.812,0,,
1961-02-17,15,6.6,-0.1,0,0,81,,8,,,2.8,,,10.136,0,,
1961-02-18,11.8,5.3,3.2,5.4,5.9,81,,7.5,,,4.4,,,10.26,0,,
1961-02-19,7,5.5,2.4,3.4,3.8,91,,8,,,3.7,,,2.956,0,,
1961-02-20,7.4,4.1,3.2,0,0,93,,7.6,,,2.1,,,3.09,0,,
1961-02-21,7.5,4.3,3.1,0,0,84,,7.1,,,3.1,,,3.227,0,,
1961-02-22,8.9,3.1,-0.9,0,0,91,,7.1,,,3.4,,,10.673,0,,
1961-02-23,9.9,3.5,-1.6,0,0,84,,6.7,,,4.2,,,9.568,0,,
1961-02-24,13.9,8,1.7,0,0,75,,7.7,,,4.5,,,7.197,0,,
1961-02-25,16.2,6.1,2.7,0,0,71,,6.9,,,5.1,,,11.316,0,,
1961-02-26,16.7,9.1,2.7,0,0,73,,8.4,,,4.6,,,9.455,0,,
1961-02-27,15.8,11.8,6.9,0,0,82,,10.9,,,6.7,,,5.368,0,,
1961-02-28,13.6,6.5,4.4,1.4,1.7,81,,8.1,,,8.3,,,3.597,0,,
1961-03-01,7.7,3.5,2.6,0.1,0.2,92,,7.3,,,4.5,,,4.116,0,,
1961-03-02,9,6,2.6,2.2,2.5,71,,6.4,,,5.1,,,5.206,0,,
1961-03-03,9.4,5.3,3.9,0.1,0.2,89,,8,,,4,,,4.801,0,,
1961-03-04,11.7,5.1,1,0,0,81,,7.2,,,2.3,,,11.826,0,,
1961-03-05,13.6,6.4,1.1,0,0,83,,8.1,,,2.3,,,12.526,0,,
1961-03-06,14.8,6.4,0.1,0,0,80,,7.7,,,1.6,,,10.521,0,,
1961-03-07,16.2,7.9,1.5,0,0,72,,7.2,,,2.6,,,13.075,0,,
1961-03-08,16.9,6.9,0.7,0,0,73,,6.9,,,1.8,,,12.909,0,,
1961-03-09,17.4,10.1,1.1,0,0,68,,7.7,,,2,,,13.83,0,,
1961-03-10,20.3,11.8,4.8,0,0,61,,8.4,,,4.2,,,13.362,0,,
1961-03-11,11.9,9.3,7.7,0,0,77,,8.8,,,4.8,,,4.211,0,,
1961-03-12,17,11.8,4.9,0,0,66,,8.7,,,7.2,,,7.927,0,,
1961-03-13,13.4,9.1,7.6,7,7.6,94,,10.7,,,7,,,4.121,0,,
1961-03-14,11.4,9.7,8.7,0,0,86,,10.3,,,6.7,,,4.486,0,,
1961-03-15,14.3,10.7,8.5,0,0,86,,11.1,,,5.8,,,5.895,0,,
1961-03-16,18.6,12.7,7.1,0,0,72,,10.4,,,5.7,,,14.643,0,,
1961-03-17,20.7,13.4,4.5,0,0,58,,8.3,,,4.5,,,13.928,0,,
1961-03-18,14.4,8.2,5.3,0.2,0.3,64,,7.6,,,5.9,,,5.462,0,,
1961-03-19,6.2,2.3,0.9,3.2,3.8,86,,6.3,,,5.9,,,9.474,0,,
1961-03-20,4.6,1,-0.2,0.7,1,76,,5.1,,,7.7,,,7.523,0,,
1961-03-21,4.7,2.2,-0.1,1.9,2.3,90,,6.5,,,8.9,,,8.139,0,,
1961-03-22,5.6,2.5,-2.5,0.7,1,80,,5.6,,,6,,,11.591,0,,
1961-03-23,8.5,5.6,2.9,0.4,0.6,85,,7.7,,,6.6,,,5.013,0,,
1961-03-24,9.8,7.5,4.8,0,0,76,,7.7,,,5.8,,,5.292,0,,
1961-03-25,12.2,7.3,3.9,0,0,80,,7.9,,,3.9,,,5.462,0,,
1961-03-26,15.5,8.9,4.3,0,0,66,,7.6,,,6.8,,,12.655,0,,
1961-03-27,10.7,3.4,0.7,0,0,74,,6,,,8.8,,,11.075,0,,
1961-03-28,6.3,4.1,0.2,0,0,68,,5.5,,,9.9,,,5.079,0,,
1961-03-29,8.8,6.4,4,0,0,74,,7.1,,,8.6,,,5.023,0,,
1961-03-30,12.1,9.6,6.4,4.6,5.1,83,,9.6,,,9.3,,,5.648,0,,
1961-03-31,10.7,4.7,1.4,0,0,87,,7.2,,,4.9,,,5.937,0,,
1961-04-01,12.1,7.9,3.3,4.8,5.3,82,,9.1,,,7.5,,,6.918,0,,
1961-04-02,8.8,7.1,3.6,4.6,5.1,94,,9.2,,,3.9,,,5.246,0,,
1961-04-03,9.3,6.4,5.6,6.1,6.7,80,,7.6,,,5.7,,,6.697,0,,
1961-04-04,9.9,7.3,5.1,1.1,1.4,90,,9.1,,,4,,,5.356,0,,
1961-04-05,21.5,15.6,6.6,0,0,68,,11.2,,,5.6,,,7.996,0,,
1961-04-06,25.2,17.8,12.6,0,0,57,,11.1,,,4.3,,,16.798,0,,
1961-04-07,25.3,18,14.7,6.2,6.8,62,,12.1,,,5.4,,,14.059,0,,
1961-04-08,16.1,7.4,6.3,11.1,11.8,90,,9.5,,,3.7,,,5.575,0,,
1961-04-09,10.4,5.3,2.3,0,0,82,,7.2,,,3.1,,,13.526,0,,
1961-04-10,12.2,8.5,4,0,0,83,,9.1,,,3.7,,,8.807,0,,
1961-04-11,16,10.7,3.1,0,0,80,,10.1,,,2.3,,,16.236,0,,
1961-04-12,19.8,12.4,6.9,0,0,75,,10.7,,,2.4,,,16.091,0,,
1961-04-13,21.5,14.7,8,0,0,79,,12.8,,,3,,,19.229,0,,
1961-04-14,24.5,15.4,10,0.8,1.1,70,,11.9,,,3.5,,,17.991,0,,
1961-04-15,16,12.8,8.8,14.8,15.6,90,,13.1,,,3,,,5.946,0,,
1961-04-16,12.1,9.1,7.5,5.7,6.2,95,,11.1,,,2.8,,,5.997,0,,
1961-04-17,17,12.6,5.6,0.2,0.4,86,,11.9,,,2,,,11.24,0,,
1961-04-18,15.1,11.4,9.6,0,0,92,,12.1,,,2.9,,,8.332,0,,
1961-04-19,14.3,10.4,7.5,0,0,84,,10.1,,,2,,,8.64,0,,
1961-04-20,15.5,11.9,6.4,1.3,1.6,86,,11.6,,,2.9,,,7.823,0,,
1961-04-21,19.2,13.1,8.2,4.1,4.6,83,,12.4,,,3.6,,,10.637,0,,
1961-04-22,22,15.7,8.9,0,0,77,,13.5,,,3.9,,,17.998,0,,
1961-04-23,19,13.8,10.7,0,0,78,,12.4,,,3.9,,,14.046,0,,
1961-04-24,20,13.5,10.6,0,0,78,,12,,,3.2,,,10.066,0,,
1961-04-25,17.5,12.3,7.3,0,0,79,,11.3,,,3,,,15.842,0,,
1961-04-26,19.1,12.4,4.5,1.5,1.8,75,,10.8,,,3.9,,,16.555,0,,
1961-04-27,17.6,11.1,9,0.9,1.2,74,,10.4,,,4.4,,,9.09,0,,
1961-04-28,17.3,12.8,7.1,0,0,70,,10.5,,,2.5,,,12.605,0,,
1961-04-29,17.5,12.8,8.5,1.2,1.5,76,,11.2,,,3.8,,,8.681,0,,
1961-04-30,12.8,11.2,8.6,1.5,1.8,88,,11.9,,,2.5,,,6.669,0,,
1961-05-01,14,11.4,8.4,0,0,86,,12,,,2.9,,,7.359,0,,
1961-05-02,17,12.5,9.4,0.9,1.2,75,,11.3,,,3.9,,,10.256,0,,
1961-05-03,18.5,15.6,9.8,0.2,0.4,64,,10.9,,,4.2,,,18.497,0,,
1961-05-04,19.7,14.7,8.5,3.1,3.5,72,,11.7,,,2.9,,,11.01,0,,
1961-05-05,23.4,17.6,13.2,16,16.8,77,,15.7,,,4.6,,,12.499,0,,
1961-05-06,19.1,13.6,12.4,1.3,1.6,84,,13.5,,,2.9,,,11.768,0,,
1961-05-07,15.4,10.6,8.9,6.6,7.2,84,,11.1,,,6.4,,,9.325,0,,
1961-05-08,15,9.5,7,2.1,2.5,74,,8.8,,,7.4,,,16.211,0,,
1961-05-09,12.4,9,7,2.6,3,82,,9.6,,,8.1,,,8.886,0,,
1961-05-10,12.1,7.7,7.1,3.8,4.3,84,,9.1,,,7,,,9.06,0,,
1961-05-11,10.3,6.7,4.9,12.4,13.1,89,,8.5,,,5.4,,,11.882,0,,
1961-05-12,8.4,7.5,4.3,7.9,8.5,88,,9.3,,,3.7,,,7.151,0,,
1961-05-13,15,10.6,7.6,0,0,77,,9.9,,,4.2,,,15.963,0,,
1961-05-14,13.8,8.1,6.5,0,0,65,,7.3,,,4,,,21.21,0,,
1961-05-15,13.3,8.8,4.5,0.6,0.8,79,,8.9,,,2.5,,,11.26,0,,
1961-05-16,13,10.5,6.5,0.1,0.2,72,,9.3,,,3.5,,,11.568,0,,
1961-05-17,14.6,9.6,7.8,0.1,0.2,76,,9.2,,,3.1,,,11.608,0,,
1961-05-18,15.6,10.8,6,0,0,69,,9.2,,,1.9,,,10.842,0,,
1961-05-19,18.5,11.8,6.3,0,0,68,,9.5,,,2.6,,,9.535,0,,
1961-05-20,13.9,9.5,6.5,1.2,1.5,86,,10.4,,,2.7,,,8.492,0,,
1961-05-21,14.1,10.6,6.5,0.1,0.2,79,,10.1,,,2,,,9.871,0,,
1961-05-22,17.3,11.8,8.5,0,0,74,,10.3,,,2.8,,,15.844,0,,
1961-05-23,19.8,12.5,7,0,0,68,,10.4,,,2,,,16.425,0,,
1961-05-24,18.1,13.2,9,0,0,64,,10,,,2.2,,,20.527,0,,
1961-05-25,22.4,15.6,5.5,0,0,61,,10.4,,,2,,,23.96,0,,
1961-05-26,23.4,15.6,10.7,29.3,30.3,70,,13.2,,,2.7,,,13.008,0,,
1961-05-27,13,6.1,5,10.9,11.6,91,,9.1,,,3.8,,,7.602,0,,
1961-05-28,9.2,7.3,5,7.8,8.4,85,,8.8,,,2,,,7.625,0,,
1961-05-29,7.8,6.5,6,16.7,17.5,92,,9.1,,,4.2,,,7.647,0,,
1961-05-30,8,7.1,6,7.3,7.9,91,,9.3,,,5,,,7.669,0,,
1961-05-31,11.5,9.4,7.2,0.7,0.9,87,,10.4,,,3.4,,,8.099,0,,
1961-06-01,23.6,17.3,6,0,0,65,,12.4,,,3.4,,,17.687,0,,
1961-06-02,20.5,14.8,12,0,0,59,,10.7,,,5.4,,,21.956,0,,
1961-06-03,21,15.8,9.5,10,10.7,68,,12.4,,,3.8,,,12.401,0,,
1961-06-04,21,14.9,11.4,11.7,12.4,88,,15.2,,,3.1,,,7.762,0,,
1961-06-05,22.4,17,12.2,0,0,79,,15.5,,,1.9,,,13.813,0,,
1961-06-06,21.6,16.3,11.7,4.2,4.7,86,,15.9,,,2.2,,,14.107,0,,
1961-06-07,24.3,16.9,12,1.3,1.6,82,,16.3,,,2.6,,,14.263,0,,
1961-06-08,23.4,17.6,14.3,0.2,0.4,75,,15.5,,,2.7,,,15.654,0,,
1961-06-09,24.5,17.2,12.6,28.7,29.7,79,,15.7,,,2.8,,,17.459,0,,
1961-06-10,15.4,11.7,9.6,1.7,2,88,,12.5,,,3.5,,,7.844,0,,
1961-06-11,18.8,14.5,10.9,0.9,1.2,75,,12.5,,,2.2,,,8.267,0,,
1961-06-12,18,13.6,11.4,3.9,4.4,80,,12.7,,,4.1,,,16.54,0,,
1961-06-13,18,13.4,10.5,3.1,3.5,85,,13.1,,,5.5,,,10.627,0,,
1961-06-14,16,12.5,11.4,2.1,2.5,81,,12.4,,,5.6,,,11.463,0,,
1961-06-15,18,12.1,9,0,0,68,,10.1,,,3.2,,,21.535,0,,
1961-06-16,21,14.2,6.7,0,0,64,,10.4,,,2.3,,,27.061,0,,
1961-06-17,26,19,10.5,0,0,56,,12.1,,,2.5,,,25.966,0,,
1961-06-18,29,22.3,14.7,3.6,4.1,61,,16.5,,,4.9,,,27.628,0,,
1961-06-19,21.7,15.1,10.3,0,0,71,,12.1,,,2.9,,,15.077,0,,
1961-06-20,20.2,13.9,9.7,0,0,58,,9.6,,,1.7,,,25.014,0,,
1961-06-21,19.9,14.3,10,0,0,66,,11.3,,,2.9,,,23.912,0,,
1961-06-22,25.4,18.2,7.7,0,0,70,,14.8,,,2.6,,,20.737,0,,
1961-06-23,25.2,18.4,13.2,0,0,61,,13.5,,,4,,,25.426,0,,
1961-06-24,28.3,20.1,12,0,0,61,,14.5,,,3.4,,,28.733,0,,
1961-06-25,30.8,22.4,14.8,0,0,59,,15.7,,,3.3,,,30.382,0,,
1961-06-26,30.8,24.4,18,5.4,5.9,58,,18.4,,,2.9,,,23.064,0,,
1961-06-27,26.6,18.9,15,0,0,76,,17.7,,,5.4,,,12.575,0,,
1961-06-28,19.6,13.7,10.3,0,0,66,,10.5,,,4.3,,,18.633,0,,
1961-06-29,24,17.9,9.2,0,0,56,,11.5,,,1.7,,,28.544,0,,
1961-06-30,27,20.4,11.8,0,0,58,,14,,,2.2,,,28.803,0,,
1961-07-01,29.8,22.4,12.9,0,0,61,,16.3,,,2.1,,,29.473,0,,
1961-07-02,33.3,26.1,15,0,0,48,,16.1,,,1.8,,,27.939,0,,
1961-07-03,33,23.7,17.6,0,0,58,,16.9,,,3.4,,,21.177,0,,
1961-07-04,20.2,15.4,14.2,2.4,2.8,76,,13.9,,,6.3,,,10.573,0,,
1961-07-05,17,11.8,8.9,0.1,0.2,69,,9.7,,,6.8,,,15.092,0,,
